Id,Name,Website,HQ_Location,HQ_City,HQ_Region,HQ_Country,Industry,Employee_Count,Funding_Stage,Revenue_USD,LinkedIn_URL,ICP_People_Count,Signal_Count,Enrichment_Status,Lookup_Method
001Qk00000fYrLdIAK,Aidion Health,aidionhealth.com,"St. Petersburg, Florida, US",St. Petersburg,Florida,US,"Technology, Information And Internet",,,,,,,website_domain,original_csv
001Qk00000avd2kIAA,Allycall,allycall.com,,,,,,0,,,,0,0,Enrichment Completed,deep_enrich
001Qk00000bhxMBIAY,Arya Health,aryahealth.ai,"New York, New York, United States",New York,New York,United States,Hospitals and Health Care,52,Series A,500000,https://www.linkedin.com/company/aryahealth,0,0,Enrichment Completed,deep_enrich
001Qk00000gcq2SIAQ,Assisters,assisters.ai,,,,,,0,,,,0,0,Enrichment Completed,deep_enrich
001Qk00000g7NhSIAU,Basisbank,bb.ge,"Tbilisi, Georgia",Tbilisi,,Georgia,Financial Services,493,Debt Financing,,https://www.linkedin.com/company/jsc-basisbank,4,0,Enrichment Completed,deep_enrich
001Qk00000iMunUIAS,Boomcrm,boomcrm.app,,,,,,0,,,,0,0,Enrichment Completed,deep_enrich
001Qk00000fPmEsIAK,Callibre,callibre.ai,,,,,,0,,,,0,0,Enrichment Completed,deep_enrich
001Qk00000anlUUIAY,Carine,carine.care,,,,,,0,,,,0,0,Enrichment Completed,deep_enrich
001Qk00000fbF5aIAE,Cloud Communication Platform,cloudcommunicationplatform.com,,,,,,"Technology, Information and Internet",2,,,https://www.linkedin.com/company/cloud-communication-platform,0,0,Enrichment Completed,deep_enrich
001Qk00000gtZRqIAM,Continuity Care,continuitycare.com.au,"North Lakes, Queensland, Australia",North Lakes,Queensland,Australia,Elder Care,12,No Funding Yet,,https://www.linkedin.com/company/continuitycare-1,0,0,Enrichment Completed,deep_enrich
001Qk00000iHDdpIAG,Cortexkai,cortexkai.ai,,,,,,0,,,,0,0,Enrichment Completed,deep_enrich
001Qk00000g73UVIAY,Credo Bank,credobank.ge,"Palo Alto, California, US",Palo Alto,California,US,Software Development,,,,,,,guessed_domain,original_csv
001Qk00000NpuEMIAZ,Desko Digital,gunnergear.com,,,,,,,,,,,,all_methods_failed,original_csv
001Qk00000RqHqCIAV,dntel.com,dntel.com,bangladesh,,,,Telecommunications,,,,,,,website_domain,original_csv
001Qk00000i1xWvIAI,Eventreply,eventreply.com,,,,,,0,,,,0,0,Enrichment Completed,deep_enrich
001Qk00000OceegIAB,Flair,flairlabs.ai,"Stanford, California, US",Stanford,California,US,"Technology, Information And Internet",,,,,,,website_domain,original_csv
001Qk00000iS92DIAS,FlowHealth,flowhealth.ai,,,,,,Hospitals and Health Care,10,,,https://www.linkedin.com/company/flowhealthai,0,0,Enrichment Completed,deep_enrich
001Qk00000g5Dg4IAE,Speedpoint,getspeedpoint.com,,,,,,Software Development,8,,,https://www.linkedin.com/company/getspeedpoint,0,0,Enrichment Completed,deep_enrich
001Qk00000dwDfbIAE,Getzube,getzube.com,,,,,,0,,,,0,0,Enrichment Completed,deep_enrich
001Qk00000fP82wIAC,Grux,grux.io,,,,,,Business Consulting and Services,11,,,https://www.linkedin.com/company/elate,0,0,Enrichment Completed,deep_enrich
001Qk00000XuObCIAV,Hupo,hupo.co,"Singapore, Central Region, SG",Singapore,Central Region,SG,Professional Training And Coaching,,,,,,,website_domain,original_csv
001Qk00000h7vVoIAI,Kaily,kaily.ai,"San Jose, Indiana, US",San Jose,Indiana,US,Software Development,,,,,,,website_domain,original_csv
001Qk00000K4AH2IAN,Kastle,kastle.ai,"San Francisco, California, United States",San Francisco,California,United States,Real Estate,2,Pre Seed,1000000,https://www.linkedin.com/company/kastleai,1,1,Enrichment Completed,deep_enrich
001Qk00000g6xawIAA,Liberty Bank,libertybank.ge,"Edinburgh, US",Edinburgh,,US,Medical Equipment Manufacturing,,,,,,,guessed_domain,original_csv
001Qk00000YHlH7IAL,Life Ambulance Network,lifelineamb.org,"Skokie, Illinois, United States",Skokie,Illinois,United States,Medical,72,No Funding Yet,,https://www.linkedin.com/company/life-ambulance-network,0,0,Enrichment Completed,deep_enrich
001Qk00000cFGpuIAG,lojiq,lojiq.ai,,,,,,Software Development,1,,,https://www.linkedin.com/company/lojiq-ai,0,0,Enrichment Completed,deep_enrich
001Qk00000htXZ9IAM,Maxtech,maxtech.enterprises,,,,,,0,,,,0,0,Enrichment Completed,deep_enrich
001Qk00000aFczlIAC,MedSpeak,medspeak.ai,,,,,,IT Services and IT Consulting,4,,,https://www.linkedin.com/company/medspeak-ai,1,0,Enrichment Completed,deep_enrich
001Qk00000WAL4FIAX,mx51,mx51.io,new south wales,australia,,,,Financial Services,,,,,,,guessed_domain,original_csv
001Qk00000T3jzWIAR,Novoflow,novoflow.io,US,,,,Medical Practices,,,,,,,website_domain,original_csv
